,city_proper,lat,lng,pct_total_listings,apartment,bed&breakfast,boat,boutiquehotel,bungalow,cabin,camperrv,castle,cave,chalet,condominium,dorm,earthhouse,entirefloor,guesthouse,hostel,house,hut,island,lighthouse,loft,other,plane,tent,timeshare,tipi,townhouse,train,treehouse,villa,yurt
0,"Austin, TX",30.2711286,-97.7436994,0.0417956828145,0.0142045495413,0.0104129629845,0.0048825185381,0.0,0.0177569527019,0.0621711878366,0.109492105656,0.0,0.0,0.105311121536,0.0217340643899,0.0,0.144593541374,0.0,0.0,0.0,0.0500349593193,0.104005869353,0.0,0.0,0.0167703146695,0.0208030936518,0.0,0.0312695903003,0.0,0.142091890489,0.0139682239881,0.0,0.140609133241,0.0104178048307,0.0
1,"Boston, MA",42.3604823,-71.0595677,0.0308750901726,0.0384704135782,0.0332654370122,0.0677340880397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0797574516653,0.0170313582953,0.0,0.0700079040691,0.0188162157018,0.0,0.0191391278055,0.0,0.0,0.0,0.0201998348686,0.0172103119847,0.0,0.0,0.0,0.0,0.0364861496198,0.0,0.0,0.011551172443,0.0
2,"Chicago, IL",41.8755546,-87.6244211,0.0451695244437,0.0401467477405,0.0253329386539,0.0146237601044,0.0,0.0,0.0,0.00101833963808,0.0496215912665,0.266534924518,0.0,0.0598048483691,0.0155891460053,0.0,0.0,0.0,0.0,0.0117220271002,0.0,0.0,0.0,0.0471448320157,0.0135693054325,0.0,0.01384512441,0.0,0.0,0.0144585308485,0.0,0.0,0.00246288438859,0.0
3,"Denver, CO",39.7391536,-104.9847033,0.0220853448754,0.0134120623115,0.0173012964275,0.0,0.0,0.0123651386661,0.00821269127502,0.0286861693202,0.139798007687,0.143516612004,0.0,0.0375838921314,0.0465067232944,0.160450434815,0.0,0.0,0.0,0.0367392840314,0.0,0.0,0.0,0.0275537114281,0.00590743150426,0.0,0.0,0.0,0.0,0.0525082661267,0.0,0.0067742232596,0.00344255247952,0.0
4,"Los Angeles, CA",34.054935,-118.2444759,0.217623883247,0.181096066339,0.347809106949,0.396589601011,0.0,0.674183233012,0.388981955282,0.544684212486,0.344705406767,0.0,0.263205045779,0.20243960058,0.411511400593,0.144839986242,0.119523933064,0.3335224378,0.0,0.31481129734,0.607346990716,0.0,0.0,0.242168613965,0.22816728932,1.0,0.390232874896,0.0,0.543788943039,0.262024237436,1.0,0.324815277992,0.677149921434,0.811489198451
5,"Nasville, TN",36.1597722,-86.610245067,0.0306198324177,0.0121625292472,0.024464225861,0.0215226485201,0.0,0.0285188657809,0.0823036634627,0.0526186749172,0.0,0.0,0.0,0.0583629458676,0.067117099598,0.0,0.388022541706,0.0469317870393,0.0,0.0866327719764,0.0,0.0,0.0,0.0417747749067,0.025627830659,0.0,0.0290952164555,0.0,0.0,0.0651458277361,0.0,0.173969150174,0.00419806823894,0.0
6,"New Orleans, LA",29.9499323,-90.0701155,0.0416070140392,0.0289357974082,0.106860127168,0.0,0.0,0.0358156633741,0.0563214403502,0.0149833850408,0.105968457904,0.348647868045,0.204603955829,0.093565906576,0.0,0.0,0.422445621161,0.137506188421,0.0,0.0779950819686,0.0,0.0,0.0,0.0205435714834,0.0563581144137,0.0,0.0275506472255,0.0,0.0,0.0181472523426,0.0,0.0,0.0579591313304,0.0
7,"New York, NY",40.7305991,-73.9865811,0.336318739249,0.526807382911,0.173779027497,0.0615480616628,1.0,0.0174650394818,0.000629184050053,0.00650450244067,0.302959679456,0.241300595433,0.0277829553808,0.136908234592,0.130190725347,0.0,0.0,0.463223371038,1.0,0.115346450635,0.100984967894,1.0,0.0,0.428460306816,0.414138421116,0.0,0.0,1.0,0.0,0.309521517756,0.0,0.0,0.0454456233494,0.0
8,"Oakland, CA",37.8044557,-122.2713562,0.0143721214139,0.00700645228433,0.00493690334489,0.0288966708031,0.0,0.0202721789512,0.0476800286602,0.00538727136814,0.0,0.0,0.199550206857,0.00967987778727,0.0,0.0,0.0,0.0,0.0,0.0208570627625,0.0,0.0,0.0,0.0150934943263,0.0144124421366,0.0,0.0,0.0,0.314119166472,0.00513582987659,0.0,0.0,0.0111223092269,0.0
9,"Portland, OR",45.5202471,-122.6741948,0.0339159869042,0.0130869133242,0.0641214680888,0.0703082729205,0.0,0.045901032689,0.16235770551,0.106601528896,0.0,0.0,0.0,0.0205767566079,0.0,0.550116037569,0.0,0.0,0.0,0.0680513484467,0.187662172037,0.0,0.0,0.0133309551453,0.0637784729613,0.0,0.402762275161,0.0,0.0,0.0235831541478,0.0,0.110293670539,0.025778969206,0.0
10,"San Diego, CA",32.7174209,-117.1627713,0.0494534154597,0.0295112633368,0.0566403005106,0.233489222521,0.0,0.116023887744,0.0708077283304,0.0597229413387,0.0,0.0,0.1798810113,0.138613391917,0.125321010127,0.0,0.0,0.0,0.0,0.0763997544955,0.0,0.0,0.0,0.0519170633898,0.0448996613563,0.0,0.034453281262,0.0,0.0,0.105075760018,0.0,0.0819008068355,0.141502022435,0.0
11,"San Francisco, CA",37.7792808,-122.4192362,0.0695188946229,0.0578323043706,0.0927394498968,0.0758609752531,0.0,0.014341658069,0.035081211351,0.0282975357737,0.0569468569201,0.0,0.0,0.100980993629,0.171250444073,0.0,0.0,0.0,0.0,0.0622866812622,0.0,0.0,1.0,0.0534422117325,0.0734592509014,0.0,0.00922810156932,0.0,0.0,0.030694225624,0.0,0.044761594355,0.0089695406379,0.0
12,"Seattle, WA",47.6038321,-122.3300623,0.0350479995561,0.0188106274448,0.0204182402648,0.0245441806259,0.0,0.015776139265,0.0845151714657,0.0420033331248,0.0,0.0,0.019665703317,0.0241732540848,0.0102850497674,0.0,0.0,0.0,0.0,0.0385345138292,0.0,0.0,0.0,0.0147152393669,0.0146505293279,0.0,0.0615628887207,0.0,0.0,0.0405191562317,0.0,0.116876143604,0.0,0.188510801549
13,"Washington, DC",38.8949549,-77.0366455,0.0315964707841,0.0185168901617,0.02191851534,0.0,0.0,0.00158021026504,0.000938032425906,0.0,0.0,0.0,0.0,0.0158187818023,0.00519704290014,0.0,0.0,0.0,0.0,0.0214496390273,0.0,0.0,0.0,0.00688507588609,0.007017845235,0.0,0.0,0.0,0.0,0.0227318682487,0.0,0.0,0.0,0.0
